title;url;date_time
The Shadow Hero (The Shadow Hero);https://books.toscrape.com/catalogue/the-shadow-hero-the-shadow-hero_860/index.html;2020-12-11 09:06:27.060557
The Secret (The Secret #1);https://books.toscrape.com/catalogue/the-secret-the-secret-1_859/index.html;2020-12-11 09:06:27.060557
The Regional Office Is Under Attack!;https://books.toscrape.com/catalogue/the-regional-office-is-under-attack_858/index.html;2020-12-11 09:06:27.060557
The Psychopath Test: A Journey Through the Madness Industry;https://books.toscrape.com/catalogue/the-psychopath-test-a-journey-through-the-madness-industry_857/index.html;2020-12-11 09:06:27.060557
The Project;https://books.toscrape.com/catalogue/the-project_856/index.html;2020-12-11 09:06:27.060557
The Power of Now: A Guide to Spiritual Enlightenment;https://books.toscrape.com/catalogue/the-power-of-now-a-guide-to-spiritual-enlightenment_855/index.html;2020-12-11 09:06:27.060557
The Omnivore's Dilemma: A Natural History of Four Meals;https://books.toscrape.com/catalogue/the-omnivores-dilemma-a-natural-history-of-four-meals_854/index.html;2020-12-11 09:06:27.060557
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us;https://books.toscrape.com/catalogue/the-nerdy-nummies-cookbook-sweet-treats-for-the-geek-in-all-of-us_853/index.html;2020-12-11 09:06:27.060557
The Murder of Roger Ackroyd (Hercule Poirot #4);https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html;2020-12-11 09:06:27.060557
The Mistake (Off-Campus #2);https://books.toscrape.com/catalogue/the-mistake-off-campus-2_851/index.html;2020-12-11 09:06:27.060557
The Matchmaker's Playbook (Wingmen Inc. #1);https://books.toscrape.com/catalogue/the-matchmakers-playbook-wingmen-inc-1_850/index.html;2020-12-11 09:06:27.060557
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking;https://books.toscrape.com/catalogue/the-love-and-lemons-cookbook-an-apple-to-zucchini-celebration-of-impromptu-cooking_849/index.html;2020-12-11 09:06:27.060557
The Long Shadow of Small Ghosts: Murder and Memory in an American City;https://books.toscrape.com/catalogue/the-long-shadow-of-small-ghosts-murder-and-memory-in-an-american-city_848/index.html;2020-12-11 09:06:27.060557
The Kite Runner;https://books.toscrape.com/catalogue/the-kite-runner_847/index.html;2020-12-11 09:06:27.060557
